,Name,Attribute Vector,Percentiles
2,Karim Adeyemi,"[0.41, 0.31, 2.45, 0.26, 0.25, 0.56, 3.88, 28.5, 73.8, 2.86, 3.68, 2.25, 4.44, 8.27, 0.87, 0.46, 1.07, 0.2, 0.56]","[89, 85, 69, 72, 74, 79, 56, 15, 39, 26, 71, 83, 64, 60, 19, 47, 57, 13, 60]"
9,Antony,"[0.22, 0.31, 3.44, 0.07, 0.16, 0.47, 3.77, 40.34, 79.2, 3.77, 4.55, 1.63, 4.1, 9.21, 1.18, 0.52, 0.96, 0.41, 0.33]","[50, 87, 95, 13, 37, 66, 53, 64, 77, 53, 85, 55, 54, 74, 41, 56, 47, 47, 30]"
27,Harvey Barnes,"[0.43, 0.3, 2.39, 0.03, 0.1, 0.4, 2.09, 26.09, 69.8, 2.62, 3.32, 0.9, 4.42, 8.53, 0.86, 0.27, 1.06, 0.4, 0.96]","[94, 82, 65, 3, 10, 52, 3, 8, 23, 18, 58, 15, 62, 63, 18, 17, 56, 46, 85]"
37,Sofiane Boufal,"[0.22, 0.23, 2.27, 0.32, 0.31, 0.54, 5.61, 52.55, 76.0, 6.04, 5.29, 4.21, 4.1, 10.14, 1.51, 0.54, 0.65, 0.11, 0.11]","[49, 58, 58, 88, 88, 77, 96, 88, 56, 94, 93, 99, 54, 83, 60, 61, 17, 6, 7]"
38,Jarrod Bowen,"[0.14, 0.22, 2.03, 0.14, 0.21, 0.42, 3.01, 24.53, 62.7, 2.0, 2.84, 1.0, 4.37, 5.93, 1.09, 1.0, 1.31, 0.7, 0.95]","[26, 54, 42, 32, 56, 58, 22, 3, 5, 6, 42, 19, 60, 26, 34, 91, 77, 75, 84]"
40,Julian Brandt,"[0.31, 0.19, 1.69, 0.28, 0.32, 0.51, 4.79, 50.59, 77.5, 4.64, 2.69, 1.6, 2.94, 7.71, 1.13, 0.53, 0.88, 0.41, 0.41]","[77, 43, 26, 82, 90, 74, 83, 86, 68, 73, 33, 54, 30, 51, 38, 60, 41, 48, 39]"
53,Tom Cairney,"[0.18, 0.14, 1.91, 0.0, 0.13, 0.26, 4.1, 68.32, 84.3, 8.38, 3.1, 0.82, 2.82, 5.19, 1.55, 0.46, 1.64, 0.27, 0.73]","[38, 14, 40, 1, 22, 10, 64, 99, 95, 99, 51, 14, 24, 15, 64, 46, 96, 26, 73]"
63,Rayan Cherki,"[0.19, 0.24, 2.93, 0.29, 0.35, 0.58, 6.15, 52.6, 77.1, 6.92, 6.39, 3.8, 6.78, 12.5, 0.67, 0.24, 0.29, 0.05, 0.1]","[42, 60, 85, 84, 95, 85, 97, 89, 63, 95, 98, 99, 96, 95, 8, 15, 1, 3, 7]"
64,Federico Chiesa,"[0.21, 0.17, 2.62, 0.42, 0.28, 0.44, 4.1, 34.15, 73.3, 3.32, 4.52, 2.26, 4.81, 9.05, 1.98, 0.14, 1.27, 0.14, 0.35]","[48, 32, 80, 96, 81, 58, 64, 38, 35, 40, 85, 84, 75, 71, 87, 4, 75, 11, 34]"
106,Bruno Fernandes,"[0.15, 0.22, 2.43, 0.24, 0.47, 0.69, 6.05, 55.56, 74.4, 7.04, 2.46, 0.95, 4.18, 6.5, 1.79, 0.69, 1.12, 1.14, 0.54]","[29, 56, 69, 69, 99, 95, 97, 94, 46, 95, 26, 18, 57, 31, 80, 73, 59, 95, 56]"
108,Phil Foden,"[0.49, 0.28, 2.22, 0.32, 0.24, 0.52, 4.81, 54.3, 81.5, 4.45, 3.27, 1.9, 6.27, 13.42, 0.85, 0.4, 1.13, 0.49, 0.81]","[95, 77, 56, 88, 73, 76, 84, 91, 89, 69, 55, 67, 93, 96, 17, 39, 62, 57, 78]"
115,Alejandro Garnacho,"[0.46, 0.42, 3.44, 0.23, 0.13, 0.55, 3.21, 30.31, 79.9, 1.72, 5.63, 1.95, 8.49, 13.32, 0.8, 0.92, 0.92, 0.57, 0.34]","[95, 96, 95, 67, 21, 78, 31, 19, 80, 4, 95, 70, 99, 96, 14, 90, 45, 66, 32]"
119,Anthony Gordon,"[0.23, 0.28, 1.93, 0.0, 0.09, 0.37, 2.22, 27.19, 74.3, 1.93, 2.73, 1.02, 4.21, 6.37, 2.73, 0.34, 1.59, 0.68, 0.51]","[52, 78, 40, 1, 6, 40, 4, 10, 44, 5, 36, 21, 58, 29, 99, 27, 94, 73, 52]"
122,Jack Grealish,"[0.15, 0.17, 1.72, 0.24, 0.3, 0.47, 4.79, 47.62, 84.4, 4.25, 6.27, 2.14, 5.9, 12.8, 0.99, 0.33, 0.81, 0.45, 0.54]","[28, 30, 29, 70, 87, 64, 82, 84, 95, 66, 97, 78, 90, 95, 26, 24, 36, 54, 57]"
