,Name,['Non-Penalty Goals',  'Non-Penalty xG',  'Shots Total',  'Assists',  'xAG',  'npxG + xAG',  'Shot-Creating Actions',  'Passes Attempted',  'Pass Completion %',  'Progressive Passes', 'Progressive Carries',  'Successful Take-Ons',  'Touches (Att Pen)',  'Progressive Passes Rec',  'Tackles', 'Interceptions',  'Blocks',  'Clearances',  'Aerials won'
8,Manuel Akanji,[0.03,0.06,0.61,0.03,0.02,0.08,1.2,80.39,92.7,4.46,0.95,0.19,1.31,0.7,1.75,0.7,1.14,1.48, 0.92]
10,David Alaba,[0.04,0.04,0.67,0.11,0.06,0.1,1.41,58.79,87.4,3.04,0.85,0.21,1.06,3.04,0.81,0.74,1.06,1.73, 0.46]
19,Joachim Andersen,[0.03,0.06,0.71,0,0.04,0.1,0.81,63.8,79.2,3.4,0.52,0.16,1.26,0.23,1.36,0.78,0.91,6.08, 2.81]
21,Ronald Araújo,[0.0,0.1,0.87,0.09,0.04,0.13,0.87,62.36,87.9,3.89,1.4,0.52,1.44,0.61,1.27,0.52,1,1.92, 2.14]
33,Alessandro Bastoni,[0.0,0.04,0.46,0.14,0.13,0.17,1.98,65.35,82.9,5.36,1.86,0.29,1.03,1.86,1.75,0.95,1.18,2.21, 1.63]
51,Sven Botman,[0.0,0.07,0.63,0,0.03,0.1,0.69,50.8,86.5,2.5,0.23,0.03,1.53,0.14,1.09,0.98,1.27,3.63, 2.16]
76,Trevoh Chalobah,[0.0,0.07,0.66,0,0.03,0.09,0.88,65.82,88.1,3.65,1.01,0.4,1.28,1.23,1.71,1.28,0.92,3.21, 1.8]
79,Andreas Christensen,[0.04,0.05,0.52,0.04,0.03,0.07,0.86,77.94,93.7,4.95,0.99,0.04,0.73,0.26,1.16,1.03,0.82,2.24, 2.07]
95,Danilo,[0.06,0.07,0.83,0.06,0.08,0.15,1.8,62.27,84.8,5.03,1.12,0.33,1.16,1.16,2.54,1.47,1.03,3.49, 1.53]
111,Eric Dier,[0.05,0.07,0.68,0.03,0.03,0.1,0.86,64.64,86.1,2.88,0.29,0.08,0.89,0.39,0.97,1.13,1.18,3.54, 2.57]
138,Luiz Felipe,[0.0,0.01,0.17,0,0.01,0.03,0.34,47.07,86,2.05,0.04,0.21,0.42,0,1.55,1.55,2.39,5.4, 1.63]
145,Wesley Fofana,[0.1,0.06,0.51,0,0.01,0.07,1.02,62.69,88.7,3.07,2.2,0.61,0.82,0.92,2.51,1.69,1.02,2.4, 2.35]
156,Roger Ibanez,[0.07,0.11,0.85,0,0.02,0.13,0.97,50.2,87.7,2.35,0.74,0.35,1.06,0.23,2,2.19,1.15,3.29, 1.96]
173,Pierre Kalulu,[0.03,0.04,0.35,0,0.04,0.08,1.17,62.8,87.4,4.72,1.77,0.33,0.57,1.36,1.96,1.31,1.45,1.99, 1.28]
182,Presnel Kimpembe,[0.0,0.07,0.41,0,0.02,0.08,0.31,62.19,93.9,4.21,0.51,0.21,0.72,0.41,1.95,1.54,1.33,1.13, 1.44]
190,Ibrahima Konaté,[0.0,0.06,0.6,0,0.01,0.07,0.9,63.35,85.9,2.93,0.4,0.55,1.29,0.25,2.19,1.34,0.8,3.58, 2.64]
191,Kalidou Koulibaly,[0.08,0.05,0.53,0.04,0.03,0.09,0.99,69.59,87,4.07,0.68,0.19,1.03,0.15,2.17,1.41,1.79,3.72, 1.82]
192,Maxence Lacroix,[0.06,0.03,0.22,0,0.01,0.03,0.72,60.57,86.9,4.59,0.83,0.39,0.5,0.22,1.22,1.44,1.22,4.7, 2.77]
193,Aymeric Laporte,[0.0,0.04,0.7,0,0.02,0.05,1.47,86.43,92.7,7,2.59,0.14,0.91,0.77,0.77,0.42,0.7,2.38, 2.38]
194,Robin Le Normand,[0.0,0.03,0.43,0,0,0.03,0.51,58.12,88.6,4.16,0.94,0.06,0.63,0.06,1.06,1.03,0.68,2.82, 3.48]
196,Matthijs de Ligt,[0.09,0.04,0.72,0.03,0.01,0.05,0.89,76.43,91.4,5.1,0.54,0,1.22,0.51,1.1,0.98,1.1,3.16, 3.19]
197,Victor Lindelöf,[0.0,0.01,0.19,0,0,0.02,0.52,63.73,93.6,3.43,0.52,0.1,0.29,0.14,1.48,1.1,1,3.81, 2.19]
207,Harry Maguire,[0.0,0.05,0.55,0,0.01,0.05,0.71,65.76,85.2,3.09,0.95,0.24,1.27,0.4,1.03,1.35,1.66,4.12, 3.01]
216,Marquinhos,[0.05,0.06,0.53,0,0.02,0.07,0.59,69.01,94.7,3.1,0.13,0.03,1.1,0.4,1.01,0.69,1.34,2.75, 1.31]
218,Lisandro Martínez,[0.03,0.02,0.4,0,0.02,0.05,0.93,67.15,87,3.96,0.93,0.53,0.5,0.06,2.48,1.39,1.86,4.12, 1.27]
225,Konstantinos Mavropanos,[0.08,0.16,1.89,0.04,0.04,0.2,1.46,59.53,83,4.72,1.34,0.63,1.85,0.51,1.97,2.48,1.54,3.9, 3.19]
237,Kim Min-jae,[0.05,0.02,0.21,0.05,0.04,0.07,1.13,80.35,90.2,4.81,1.2,0.14,0.7,0.19,1.57,1.48,1.06,3.64, 2.89]
239,Tyrone Mings,[0.03,0.03,0.2,0.06,0.04,0.07,0.66,54.26,85.2,3.17,0.57,0.17,0.6,0.2,0.43,1.54,1.14,4.66, 1.74]
271,Benjamin Pavard,[0.18,0.11,1.19,0.03,0.08,0.18,1.58,88.6,88.7,7.59,1.31,0.03,1.7,2.53,2.44,1.7,1.34,3.07, 2.23]
284,Sergio Ramos,[0.05,0.05,0.66,0.03,0.01,0.06,0.6,81.09,94.2,4.92,0.47,0.21,1,0.37,1.13,1.18,1.05,3.1, 1.89]
294,Cristian Romero,[0.0,0.05,0.4,0.03,0.04,0.09,0.94,61.99,88,3.77,0.85,0.4,0.61,0.52,2.49,1.64,1.43,3.46, 2.25]
298,Antonio Rüdiger,[0.06,0.06,0.81,0,0.01,0.08,0.61,58.75,91.8,2.15,0.7,0.09,0.9,0.29,0.81,0.73,0.87,2.91, 1.37]
302,William Saliba,[0.1,0.04,0.23,0.03,0.04,0.08,0.53,71.73,91.1,3.66,0.43,0.27,0.53,0.07,1.23,0.73,0.43,3.09, 1.96]
