,Name,['Non-Penalty Goals',  'Non-Penalty xG',  'Shots Total',  'Assists',  'xAG',  'npxG + xAG',  'Shot-Creating Actions',  'Passes Attempted',  'Pass Completion %',  'Progressive Passes', 'Progressive Carries',  'Successful Take-Ons',  'Touches (Att Pen)',  'Progressive Passes Rec',  'Tackles', 'Interceptions',  'Blocks',  'Clearances',  'Aerials won'
9,Julián Álvarez,[0.51,0.4,2.78,0.09,0.13,0.53,3.3,28.92,79,2.14,2.09,1.11,5.29,6.27,1.44,0.19,0.65,0.32, 0.56]
21,Folarin Balogun,[0.45,0.63,3.63,0.06,0.11,0.74,2.4,17.47,70.1,1.65,1.68,1.05,5.94,8.49,0.27,0.09,0.6,0.45, 0.42]
22,Patrick Bamford,[0.24,0.42,2.85,0.12,0.06,0.48,1.6,19.78,68.8,1.37,1.01,0.65,4.93,5.7,0.53,0.3,0.71,0.77, 2.14]
23,Christoph Baumgartner,[0.25,0.25,2.31,0.11,0.15,0.4,3.12,32.08,66.7,3.51,2.66,1.89,4.14,5.08,1.26,0.53,2,0.67, 2.52]
27,Andrea Belotti,[0.14,0.34,1.83,0.09,0.11,0.45,2.2,19.93,66.4,1.17,1.55,0.47,4.36,6.89,0.89,0.33,0.89,0.38, 3.24]
30,Karim Benzema,[0.52,0.65,4.34,0.13,0.25,0.89,4.46,44.81,86.1,5.47,2.72,0.87,7.18,6.5,0.36,0.06,0.52,0.42, 0.55]
39,Ante Budimir,[0.4,0.39,2.9,0,0.04,0.42,1.7,15.77,61.6,1.15,1.15,0.8,5.91,4.91,0.95,0.25,0.5,0.95, 4.86]
40,Dominic Calvert-Lewin,[0.08,0.39,2.32,0.08,0.06,0.46,1.85,17.07,59.3,1.16,1.39,1.16,4.56,4.33,0.31,0.23,0.39,1.39, 5.1]
49,Edinson Cavani,[0.19,0.22,1.93,0.12,0.11,0.33,1.49,21.99,74.3,1.24,0.5,0.25,3.35,3.29,0.43,0.12,0.62,0.68, 1.24]
57,Matheus Cunha,[0.12,0.25,2.64,0.12,0.11,0.36,2.7,21.64,73.6,1.48,1.6,2.21,4.73,4.55,0.8,0.74,1.41,0.86, 0.61]
62,Arnaut Danjuma,[0.27,0.37,2.33,0,0.05,0.42,2.33,20.93,72.5,0.82,2.33,0.82,4.24,7.39,0.68,0,0.14,0.14, 0.14]
71,Gerard Deulofeu,[0.15,0.38,3.27,0.45,0.33,0.71,6.09,43.7,75.3,6.09,5.35,1.49,6.09,8.77,0.59,0.15,0.59,0.07, 0.07]
72,Ángel Di María,[0.26,0.17,2.58,0.31,0.35,0.53,5.64,46.88,72.8,6.17,3.5,2.36,3.45,6.47,0.74,0.44,0.92,0, 0.09]
78,Kasper Dolberg,[0.13,0.09,1.27,0.13,0.13,0.22,1.52,15.99,70.6,1.02,1.14,0.89,3.17,4.44,1.02,0.13,1.02,1.4, 1.78]
88,Youssef En-Nesyri,[0.48,0.43,3.26,0.03,0.07,0.49,1.65,12.56,65.3,0.58,0.79,0.31,5.46,3.71,1,0.21,0.27,0.93, 3.05]
91,João Félix,[0.35,0.42,4.04,0.13,0.11,0.53,3.82,34.08,75.9,4.12,3.11,1.89,3.95,6.97,1.23,0.18,0.22,0.13, 0.7]
92,Evan Ferguson,[0.57,0.5,3.41,0.19,0.07,0.58,2.08,21.32,80,1.33,1.04,0.76,3.69,5.49,0.57,0.19,1.04,0.57, 0.85]
96,Niclas Füllkrug,[0.4,0.31,2.69,0.18,0.13,0.44,2.69,33.75,62.5,3.27,1.49,1.13,4.76,7.27,0.33,0.04,0.47,0.87, 5.56]
99,Cody Gakpo,[0.46,0.34,2.5,0.23,0.16,0.51,3.14,25.07,75.5,3.28,2.46,1.41,4.41,6.92,1.64,0.36,0.82,0.18, 1.41]
105,Antoine Griezmann,[0.44,0.39,3.61,0.47,0.41,0.8,5.04,50.77,77.4,5.43,2.95,1.41,4.88,6.31,1.54,0.72,1.08,0.88, 0.88]
106,Erling Haaland,[1.0,0.8,3.86,0.22,0.15,0.95,2.29,15.53,72.4,1.75,1.1,0.57,6.88,4.54,0.1,0.12,0.42,0.42, 1.67]
107,Kai Havertz,[0.2,0.36,2.65,0.03,0.16,0.52,2.48,32.8,80.3,3.27,2.15,0.82,5.98,8.27,1.13,0.23,1.04,1.27, 2.71]
108,Hwang Hee-chan,[0.24,0.23,1.43,0.08,0.09,0.32,2.39,22.3,76.4,2.39,1.99,1.04,3.03,4.78,1.59,0.4,1.43,0.4, 0.56]
109,Philipp Hofmann,[0.27,0.3,1.78,0.07,0.09,0.39,2.02,25.42,58.3,2.43,0.24,0.31,4,4,0.62,0.21,0.68,1.64, 7.32]
110,Rasmus Højlund,[0.44,0.47,2.65,0.1,0.12,0.58,2.75,21.35,73.1,1.82,1.96,1.37,6.53,10.99,0.2,0.05,0.44,0.25, 1.62]
116,Gabriel Jesus,[0.39,0.56,3.42,0.27,0.21,0.76,3.84,30.56,80.3,2.76,2.02,2.17,8.54,8.5,1.48,0.43,1.16,0.58, 1.82]
